name,gender,hairLength,elasticity,front_image,round,oval,oblong,square,heart,diamond,triangular,pear,ut,tt,tf,ff,fs,os,FilePath,image_encodings
Daniel Radcliffe Short Straight   Light Brunette   Hairstyle with Side Swept Bangs ,Men,Short,Straight,front_Daniel Radcliffe Short Straight   Light Brunette   Hairstyle with Side Swept Bangs _Daniel-Radcliffe.jpg,0,1,1,1,0,1,0,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Daniel Radcliffe Short Straight   Light Brunette   Hairstyle with Side Swept Bangs _Daniel-Radcliffe.jpg,"[-3.83688882e-02  1.14209183e-01  2.89695803e-02 -1.66705310e-01
 -1.25686824e-01  8.86138529e-03 -9.60877687e-02  4.04563099e-02
  1.48500726e-01 -7.07447678e-02  1.52773276e-01  4.37386855e-02
 -2.06170708e-01  2.40560602e-02 -6.25578687e-04  7.55375698e-02
 -2.45441437e-01 -1.49529964e-01 -2.83296909e-02 -1.08934551e-01
 -1.78511143e-02  1.03657246e-01 -3.60364839e-02  4.25069965e-02
 -7.36297369e-02 -2.65587479e-01 -1.04828142e-01 -6.71371222e-02
  8.29282850e-02 -1.53142288e-01  4.01524790e-02  1.47392917e-02
 -1.38501868e-01 -5.74985258e-02  4.54502031e-02  6.42554909e-02
 -9.15880203e-02 -8.69616270e-02  1.89700156e-01  4.94369268e-02
 -1.28751323e-01 -8.21649469e-03  5.14715761e-02  3.57113779e-01
  2.04959661e-01  8.17621127e-02  1.40871825e-02 -2.10028347e-02
  7.49750733e-02 -2.08948955e-01  9.50571895e-02  1.71852767e-01
  1.50179267e-01  7.92797059e-02  3.06108687e-02 -1.71073332e-01
  4.37737741e-02  1.54782102e-01 -1.50697187e-01  1.01011440e-01
  6.63562119e-02 -1.07163772e-01  5.91264591e-02 -4.37511131e-02
  2.37598553e-01  5.87180257e-03 -9.30634141e-02 -1.60316959e-01
  1.71269745e-01 -1.59106269e-01 -1.58795103e-01  1.06279969e-01
 -1.08033918e-01 -1.35634229e-01 -2.52375305e-01 -4.62927110e-03
  3.20738554e-01  1.64250046e-01 -9.01244879e-02  3.66576388e-02
 -2.02938020e-02 -5.33253551e-02  2.12551802e-02  9.85472351e-02
 -1.66722760e-01  3.33137810e-04 -7.29454830e-02  5.87664396e-02
  2.65748471e-01  3.41300815e-02 -1.06153548e-01  1.36149883e-01
  3.49302068e-02  3.71528640e-02  6.45643324e-02  1.34564936e-03
  5.95769193e-03 -1.45023465e-02 -1.42565489e-01  6.69075176e-03
 -2.26083281e-03 -1.49312586e-01 -6.55761510e-02  1.67291760e-01
 -1.97273195e-01  1.70549899e-01  2.31980793e-02 -5.05045652e-02
 -1.07907593e-01  4.30645198e-02 -1.15394481e-01 -1.56767666e-04
  2.56511658e-01 -2.74978280e-01  1.79931581e-01  2.79112607e-01
  1.29333079e-01  1.29581600e-01  7.56423026e-02  1.21963527e-02
 -5.49211353e-03 -1.15443721e-01 -1.94258139e-01 -8.59679356e-02
  1.30107170e-02 -2.54807957e-02  1.40529320e-01  9.71821100e-02]"
Daniel Radcliffe Medium Straight     Hairstyle  ,Men,Medium,Straight,front_Daniel Radcliffe Medium Straight     Hairstyle  _Daniel-Radcliffe.jpg,0,1,1,0,0,1,0,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Daniel Radcliffe Medium Straight     Hairstyle  _Daniel-Radcliffe.jpg,"[-0.14255339  0.08517085  0.0475872  -0.12946099 -0.17469595  0.02580568
 -0.06132191  0.00821781  0.1016606  -0.027699    0.13053493  0.01237805
 -0.20657749  0.03493477 -0.02965989  0.09532797 -0.20757329 -0.1493523
 -0.03269215 -0.10785069 -0.06327162  0.14107509 -0.03728779  0.08803628
 -0.05856538 -0.2778827  -0.10939136 -0.13635062  0.11792277 -0.1191108
  0.02052391  0.01525073 -0.1658154  -0.05260605  0.05967573  0.06778668
 -0.04729952 -0.08275667  0.20054768  0.10781982 -0.13546614 -0.02619891
  0.06013605  0.37383014  0.20605044  0.06993894  0.01363872 -0.04453908
  0.13109124 -0.21034594  0.11756515  0.14381701  0.13865408  0.04352009
  0.04184538 -0.14014253  0.04044911  0.15281416 -0.22765508  0.12482327
  0.0749395  -0.05992757  0.027043   -0.06574155  0.21791506  0.05017559
 -0.06197777 -0.19866368  0.23482375 -0.18568194 -0.15476404  0.13685055
 -0.10233107 -0.10682566 -0.26344645  0.03425829  0.40483481  0.17114602
 -0.07674289  0.01813896 -0.02237417 -0.12002595  0.03618558  0.11340052
 -0.12526208 -0.05056803 -0.03790556  0.05281988  0.27358979  0.05720486
 -0.06733038  0.13570495  0.03670755  0.01379513  0.04586705  0.02867429
 -0.03457563 -0.00726321 -0.13245915 -0.01676363 -0.0469105  -0.07780822
 -0.02073636  0.16025668 -0.19899839  0.16872133  0.01019618 -0.09725612
 -0.13501287 -0.02394896 -0.105396    0.05302258  0.2447046  -0.26299173
  0.19123946  0.20750198  0.11081895  0.0956176   0.04489445 -0.02096866
  0.01784525 -0.11835866 -0.2139582  -0.10077734  0.06742629 -0.09228443
  0.09661396  0.08192992]"
Gabriel Macht Short Straight     Hairstyle  ,Men,Short,Straight,front_Gabriel Macht Short Straight     Hairstyle  _10474_Gabriel-Macht_copy_2.jpg,1,1,0,0,1,0,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Gabriel Macht Short Straight     Hairstyle  _10474_Gabriel-Macht_copy_2.jpg,"[-0.10965966  0.18877839 -0.00143051  0.00574544 -0.09386238  0.07450569
 -0.03474382 -0.03089246  0.15898453 -0.01930251  0.15622927 -0.09977895
 -0.2313211  -0.07580429  0.11288361  0.10647647 -0.15237436 -0.19267672
 -0.11672842 -0.05274628 -0.0432586   0.02327732 -0.0510425   0.06425738
 -0.18173727 -0.3833372   0.02157939 -0.14901732  0.15485048 -0.15307571
 -0.05488926 -0.01886732 -0.2306031  -0.09637544 -0.00105142  0.15065305
 -0.11402919 -0.13340594  0.27558452 -0.04058211 -0.18591091  0.03746531
  0.02944569  0.26943845  0.15711533 -0.03645115  0.09371848 -0.00099339
  0.11438701 -0.31172448  0.1215564   0.17214011  0.09228138  0.13873713
  0.05107205 -0.23017287 -0.03751263  0.15642615 -0.23704499  0.16865024
  0.08017506  0.02092418 -0.06501894 -0.00353931  0.2082762   0.1164308
 -0.07319067 -0.20303947  0.09840601 -0.16614367 -0.01029505  0.17334528
 -0.04933544 -0.25102726 -0.23745821  0.17322879  0.35610178  0.17393628
 -0.18822533  0.01753142  0.0014955  -0.10368043  0.07123587  0.05144743
 -0.03628848 -0.01220579 -0.08523647  0.12109286  0.26787016  0.05391596
 -0.04435198  0.20647132  0.04227131 -0.02818552  0.00969647  0.09368465
 -0.05229701 -0.01812023 -0.09330843 -0.01253442  0.20006612 -0.07707199
 -0.03575336  0.0893969  -0.18821606  0.22380254 -0.00841608 -0.01610098
 -0.0147081  -0.03105593 -0.10656822  0.06993423  0.26209879 -0.2969054
  0.25819704  0.17283359  0.0337154   0.13429838  0.08134769 -0.01611275
  0.11956991 -0.02957327 -0.21770543 -0.12072254  0.04273047 -0.00451385
  0.04669362  0.0782773 ]"
Adam Scott Short Straight   Mocha   Hairstyle  ,Men,Short,Straight,front_Adam Scott Short Straight   Mocha   Hairstyle  _Adam-Scott.jpg,1,1,0,0,1,0,1,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Adam Scott Short Straight   Mocha   Hairstyle  _Adam-Scott.jpg,"[-1.96174279e-01  4.01926301e-02 -2.33080201e-02 -5.71484342e-02
 -1.37198418e-01  1.64263928e-03  3.67912874e-02 -7.05312565e-03
  2.30462372e-01 -1.20233104e-01  1.39598504e-01 -3.22001353e-02
 -2.07521021e-01 -1.02833144e-01 -4.56122905e-02  1.39805883e-01
 -2.08044037e-01 -1.00826122e-01 -1.22709177e-01 -1.30157799e-01
  4.73662727e-02  1.39583960e-01 -4.93707582e-02  7.82954022e-02
 -1.70043990e-01 -3.08202207e-01 -3.74253504e-02 -1.59706101e-01
  5.72904870e-02 -1.50630265e-01  1.28902812e-02  9.67943966e-02
 -1.18929669e-01 -6.72891811e-02 -2.28583813e-04  9.27428305e-02
  2.14840565e-02 -5.54422475e-02  1.43592104e-01  4.12221327e-02
 -1.46341294e-01  1.16839167e-02  1.90622583e-02  3.20447326e-01
  1.69178963e-01 -3.06956749e-02  1.75786987e-02 -5.31726778e-02
  1.88462913e-01 -3.52307826e-01 -6.76301587e-03  1.48176670e-01
  5.63665740e-02  6.00483268e-03  1.07933551e-01 -8.16898718e-02
  1.47881731e-02  2.28870973e-01 -2.43317112e-01  1.32767946e-01
  8.73017237e-02 -8.42452720e-02 -8.06432515e-02  1.80864893e-02
  1.18914634e-01  9.84624177e-02 -9.90307927e-02 -1.12559386e-01
  1.04320236e-01 -2.08089188e-01 -3.92545387e-02  8.90362859e-02
 -6.78339154e-02 -2.38895997e-01 -2.27696866e-01  8.52426440e-02
  4.36209261e-01  2.48837292e-01 -1.14344873e-01  7.94735998e-02
 -7.51757771e-02  2.70252191e-02  1.58295751e-01  5.82679622e-02
 -9.29099023e-02 -6.47487417e-02 -1.04098924e-01  1.10046223e-01
  1.59179002e-01  5.90413064e-02  7.83960335e-03  2.57893950e-01
  6.28394783e-02 -2.77558602e-02  2.25473475e-03 -1.65702365e-02
 -8.56279507e-02 -4.59395647e-02 -2.99506709e-02 -1.43409669e-02
  1.38132215e-01 -6.98875561e-02  3.76883075e-02  3.47644612e-02
 -1.50971144e-01  1.68843508e-01 -5.73788658e-02 -2.03359816e-02
  1.65835675e-03 -9.47061777e-02 -3.83523516e-02  1.07304543e-01
  1.71668380e-01 -2.15885058e-01  1.47777304e-01  1.48114800e-01
 -1.52760912e-02  2.11212784e-01  5.63030578e-02  3.26483045e-03
 -8.24367162e-04 -7.33708292e-02 -1.25502512e-01 -6.91387951e-02
  9.65578556e-02 -5.84886707e-02  8.16913694e-02 -5.76257966e-02]"
Adam Scott Short Straight    Brunette   Hairstyle  ,Men,Short,Straight,front_Adam Scott Short Straight    Brunette   Hairstyle  _Adam-Scott.jpg,1,1,0,0,1,0,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Adam Scott Short Straight    Brunette   Hairstyle  _Adam-Scott.jpg,"[-1.82311520e-01  4.07003500e-02 -2.50495896e-02 -3.39440145e-02
 -1.31395340e-01  3.29572707e-02  5.18091843e-02  1.59097575e-02
  2.18167678e-01 -9.37632173e-02  1.21120527e-01  1.96584947e-02
 -2.29582965e-01 -1.04336902e-01 -3.86002623e-02  1.18760869e-01
 -2.18029514e-01 -1.15826979e-01 -1.04808472e-01 -1.39187381e-01
  7.39741251e-02  8.94656330e-02 -6.77968636e-02  7.10914731e-02
 -2.11013824e-01 -2.52060860e-01 -6.60154969e-03 -1.53284952e-01
  1.28318388e-02 -1.44558713e-01 -1.93305146e-02  6.38392493e-02
 -1.24029070e-01 -6.96024597e-02  8.59425217e-03  1.00016043e-01
 -3.23699322e-03 -6.33241758e-02  1.25050306e-01 -4.61290218e-03
 -1.38286859e-01 -2.96125356e-02  3.45435217e-02  3.14619124e-01
  1.35499492e-01 -1.06813274e-02 -3.51521187e-02 -5.27962819e-02
  2.18651146e-01 -3.44801903e-01  1.17805135e-02  1.45544991e-01
  4.44529802e-02  4.57624532e-02  9.70922112e-02 -9.92889106e-02
  3.83435562e-02  2.27814838e-01 -2.27379873e-01  8.88426527e-02
  7.91038014e-03 -1.25010446e-01 -6.15621880e-02 -3.11106499e-02
  1.37237385e-01  9.23468769e-02 -7.50558227e-02 -9.36481506e-02
  1.23741172e-01 -1.68478414e-01 -4.28487845e-02  9.12361667e-02
 -4.87729870e-02 -2.33664632e-01 -2.18271464e-01  7.86855444e-02
  4.22628552e-01  2.34144941e-01 -1.04103699e-01  5.75522482e-02
 -7.92133436e-02  1.85140967e-03  1.38567865e-01  4.09499928e-02
 -1.15916297e-01 -1.26022361e-02 -1.08325653e-01  1.19003966e-01
  1.86930194e-01  2.97200382e-02  2.31227688e-02  2.49884337e-01
  7.65504241e-02 -4.57095094e-02  4.15391549e-02 -1.85625739e-02
 -8.44514146e-02 -1.24846715e-02 -6.77603036e-02 -3.31384465e-02
  1.87211141e-01 -1.24570228e-01  5.38640767e-02  4.67405915e-02
 -1.82904705e-01  1.04890570e-01 -1.53696630e-02 -2.40840688e-02
  2.84689758e-02 -1.08576432e-01 -7.41529092e-02  5.50941043e-02
  1.71222135e-01 -2.41093904e-01  1.57029554e-01  1.47571981e-01
  1.61186904e-02  2.08955482e-01  2.40468942e-02  1.30436383e-05
 -2.96125636e-02 -1.14725336e-01 -1.23218946e-01 -3.86820063e-02
  1.46785095e-01 -3.60894725e-02  7.19820634e-02 -4.48954701e-02]"
Jim Carrey Medium Straight     Hairstyle  ,Men,Medium,Straight,front_Jim Carrey Medium Straight     Hairstyle  _Jim-Carrey.jpg,1,1,0,1,0,1,0,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Jim Carrey Medium Straight     Hairstyle  _Jim-Carrey.jpg,"[-0.03039798  0.11884169 -0.00633005 -0.02652084 -0.17252284  0.01288845
 -0.03961394 -0.017932    0.13573255 -0.01918634  0.16226245 -0.04239312
 -0.21886313 -0.04009529  0.07394814  0.10357668 -0.14152095 -0.12661792
 -0.10491772 -0.056764   -0.04180394 -0.01406218  0.00398232  0.07146935
 -0.11740793 -0.37607312 -0.08629431 -0.12808767  0.1296019  -0.17088653
 -0.02655977  0.05840347 -0.19086726 -0.10072735  0.03035858  0.08713648
 -0.08504108 -0.17023474  0.22804505  0.02318078 -0.18143207  0.03018784
  0.06738874  0.29745984  0.0976373   0.00058091  0.03037205 -0.03500231
  0.13483538 -0.22994794  0.15260822  0.16881832  0.08499315  0.10798834
  0.08128463 -0.16251829  0.08577854  0.15340544 -0.26895294  0.06612016
  0.08473964  0.02105795 -0.13482495 -0.11331739  0.21974504  0.19490758
 -0.07604606 -0.18700884  0.05831897 -0.12611072 -0.08055262  0.07820503
 -0.10544015 -0.16199595 -0.25004354  0.07999279  0.34192815  0.20129177
 -0.22931321  0.03109751 -0.07104224 -0.07009994  0.09205154  0.06636722
 -0.06721003  0.00107076 -0.0683054   0.05563106  0.14656319  0.01360163
 -0.04016184  0.1929993   0.04282078  0.01126493  0.01920222  0.02334326
 -0.12735058 -0.03599901 -0.1568417  -0.08899311  0.17158557 -0.05976483
 -0.06936019  0.07666941 -0.25531214  0.19428805  0.08375844 -0.02566466
  0.06739568 -0.0302217  -0.13608766  0.01294384  0.19268353 -0.33816263
  0.24827006  0.15070148  0.02820518  0.12066179  0.12529674  0.01984972
  0.01575377 -0.09730896 -0.20314345 -0.08671728  0.1054786  -0.00178109
 -0.00176209  0.02065198]"
Michael Buble Short Straight     Hairstyle  ,Men,Short,Straight,front_Michael Buble Short Straight     Hairstyle  _8738_Michael-Buble.jpg,1,1,1,0,0,1,1,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Michael Buble Short Straight     Hairstyle  _8738_Michael-Buble.jpg,"[-1.31233752e-01  1.22109659e-01  6.07051440e-02 -3.74145061e-02
 -3.68706584e-02  1.00206127e-02 -8.26219395e-02  2.63555050e-02
  1.03118300e-01 -4.87659052e-02  1.65456772e-01  3.92668471e-02
 -2.73992181e-01 -5.06775454e-02 -1.93516202e-02  1.01323031e-01
 -8.90554637e-02 -1.64419204e-01 -1.42020985e-01 -2.94701532e-02
  6.11004755e-02  1.31610706e-01 -9.82941017e-02 -1.19770542e-02
 -9.89735052e-02 -3.17303866e-01 -9.71631408e-02 -4.17346805e-02
  3.17962766e-02 -4.50611562e-02 -2.07530893e-02  5.66820838e-02
 -1.59778714e-01 -7.43862689e-02  1.16986401e-01  9.06714499e-02
 -7.42864446e-04 -6.25751615e-02  1.21730529e-01  6.00803047e-02
 -1.30238414e-01 -7.88356736e-03  6.32193834e-02  3.04436386e-01
  9.90957022e-02  4.26695161e-02  6.95122778e-02 -1.95241570e-02
  8.27940851e-02 -2.97732264e-01  1.32940352e-01  1.91108093e-01
  1.59978718e-01  1.63650379e-01  1.03124551e-01 -1.56632692e-01
  6.77898005e-02  1.90280586e-01 -2.16431275e-01  1.59517273e-01
  7.58982152e-02 -8.81244391e-02 -8.70373845e-02 -4.52641733e-02
  1.62396878e-01  1.36248648e-01 -1.00292802e-01 -2.21355140e-01
  2.45894402e-01 -1.48774236e-01 -6.76652268e-02  1.19381540e-01
 -1.07156530e-01 -1.51500121e-01 -2.12318674e-01  9.31357294e-02
  3.57203722e-01  2.31024563e-01 -1.93270028e-01  1.72625110e-02
 -5.53606339e-02  1.75587162e-02  4.27673943e-02  5.40215708e-03
 -8.57709572e-02 -7.17841089e-03 -6.58602864e-02  1.52499452e-02
  2.88160980e-01  1.11385584e-01 -7.16147721e-02  2.32981771e-01
  9.16840509e-02 -3.74515578e-02  1.02393582e-01 -1.54379755e-03
  4.83925343e-02 -1.61046728e-01 -1.30733982e-01 -9.54848528e-03
 -7.21900724e-05 -1.50936395e-01 -8.48155171e-02  1.18881255e-01
 -1.10697985e-01  1.51120692e-01 -1.00383051e-02  2.35112216e-02
 -3.66064385e-02  4.38167527e-02 -9.87887532e-02 -1.56731680e-02
  1.59317940e-01 -2.26791129e-01  2.15146869e-01  1.52002975e-01
  1.02560073e-01  8.46361592e-02  3.48066092e-02  8.06740820e-02
  3.62225212e-02 -1.34707898e-01 -1.48800030e-01 -2.03377381e-01
  5.45068458e-02 -2.19121203e-02 -5.47902286e-03  3.55122201e-02]"
Tyler Posey Short Wavy     Hairstyle  ,Men,Short,Wavy,front_Tyler Posey Short Wavy     Hairstyle  _Tyler-Posey.jpg,1,1,0,0,1,0,1,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Tyler Posey Short Wavy     Hairstyle  _Tyler-Posey.jpg,"[-0.14769597  0.13380317  0.0770903  -0.0536366  -0.10018492 -0.01432515
 -0.1193944  -0.07913806  0.08501089 -0.09388426  0.22523016  0.08179886
 -0.19777483 -0.17899285 -0.04188217  0.09522393 -0.11844876 -0.11754821
 -0.05381682  0.0035888   0.056627    0.0146079   0.02993292  0.04696362
 -0.07835594 -0.33983487 -0.06309128 -0.09563722  0.01995868 -0.07815047
 -0.09975762  0.01533583 -0.17280333 -0.09607325 -0.00545218  0.20090912
 -0.01480994  0.03296174  0.0785553  -0.01089545 -0.2277621   0.05403128
  0.03012791  0.23318703  0.27760664  0.07115188  0.06353672 -0.08664593
  0.16302501 -0.21850026  0.10664043  0.1155872   0.21743248  0.02893293
  0.13756123 -0.2016491  -0.00821135  0.12760016 -0.13626045  0.00530492
 -0.0354093  -0.01112922  0.00979849 -0.07011376  0.14174466  0.06736916
 -0.11828916 -0.13786298  0.1764981  -0.17082796 -0.07524885  0.1746574
 -0.11743265 -0.19322732 -0.34105828  0.06659912  0.38221771  0.24335848
 -0.15956695  0.0227859  -0.04643011 -0.03573851 -0.00190072  0.09106679
 -0.07873495  0.07933617 -0.09670559  0.01141851  0.1373475   0.03423446
 -0.04730935  0.18185957  0.02727446  0.12832941  0.02882757  0.05349704
 -0.06751181  0.00947817 -0.17457022 -0.04944748 -0.00851313 -0.07909089
 -0.01712345  0.07299516 -0.16196918  0.11882769 -0.03958762  0.03792724
 -0.07610859 -0.01520364 -0.06469107  0.05297982  0.13856111 -0.27642068
  0.20202798  0.2256276   0.04876666  0.13631122  0.16272976 -0.01932318
  0.02773494 -0.13842312 -0.16198945 -0.09745626  0.06834074 -0.11954628
  0.10956395  0.03480244]"
Tyler Posey Medium Wavy   Dark Brunette   Hairstyle  ,Men,Medium,Wavy,front_Tyler Posey Medium Wavy   Dark Brunette   Hairstyle  _Tyler-Posey.jpg,1,1,0,0,1,0,1,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Tyler Posey Medium Wavy   Dark Brunette   Hairstyle  _Tyler-Posey.jpg,"[-0.16586538  0.13166758  0.09316623 -0.09587903 -0.10760136  0.03466956
 -0.12178494 -0.01211154  0.13910186 -0.1098939   0.23022367  0.10803828
 -0.18278556 -0.16139391 -0.03008329  0.11780247 -0.14230476 -0.10724013
 -0.0344401  -0.01815525  0.09613042  0.04571794  0.00894237  0.04001689
 -0.13321555 -0.34566468 -0.04557792 -0.07070024  0.01163599 -0.08269716
 -0.05376786  0.00044246 -0.15932752 -0.01890613 -0.00434832  0.18824843
 -0.02061445  0.01341274  0.08419961  0.00444986 -0.21260175  0.0257765
  0.04145397  0.23463246  0.27512398  0.07880002  0.04402855 -0.03207322
  0.20060727 -0.26103094  0.12197978  0.10062446  0.25331745  0.03418241
  0.16375732 -0.13693395 -0.00175657  0.14910713 -0.16664082  0.00309204
 -0.04329633 -0.03364817 -0.00206024 -0.0788197   0.15033641  0.08368477
 -0.12795907 -0.14022306  0.15509966 -0.18458451 -0.09032112  0.18484248
 -0.09890024 -0.18174829 -0.34442687  0.06027337  0.3512125   0.27446803
 -0.15389605 -0.0077521  -0.01460054 -0.00167751 -0.00956916  0.05628344
 -0.11518575  0.04392196 -0.09328261 -0.00422285  0.17658159  0.03492752
 -0.05147739  0.22788954  0.06809634  0.08973486 -0.0167341   0.00878641
 -0.03148311 -0.02365445 -0.11780688 -0.05195445 -0.01637128 -0.06312984
 -0.00754309  0.07552452 -0.21657434  0.12922302 -0.05899263  0.03207547
 -0.04906895  0.03014744 -0.11108349  0.01694056  0.11922333 -0.29287398
  0.14087242  0.22012851  0.05597466  0.13837412  0.13044547 -0.00249871
  0.0144416  -0.131354   -0.10501882 -0.11130925  0.07585911 -0.11779556
  0.11446948  0.03382147]"
Tyler Posey Short Wavy   Black Ash    Hairstyle  ,Men,Short,Wavy,front_Tyler Posey Short Wavy   Black Ash    Hairstyle  _Tyler-Posey.jpg,1,1,0,1,1,0,1,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Tyler Posey Short Wavy   Black Ash    Hairstyle  _Tyler-Posey.jpg,"[-0.16877444  0.16289467  0.07432081 -0.0782734  -0.14035761  0.01627591
 -0.07464749 -0.01207285  0.17096873 -0.12185288  0.22519423  0.07430103
 -0.16576615 -0.13193026 -0.05169885  0.12816921 -0.11406267 -0.13857424
 -0.03698938 -0.02138452  0.06508264  0.03733378 -0.02243758  0.04243162
 -0.09428126 -0.31920803 -0.05777061 -0.08097524  0.0762679  -0.0633021
 -0.06187655  0.05229092 -0.17254359 -0.07909819 -0.00992075  0.15850681
 -0.0519689   0.0238619   0.12651035  0.02369241 -0.21565966  0.05944379
  0.00483052  0.26898906  0.20989697  0.07839103  0.03785544 -0.08667025
  0.1689235  -0.2499395   0.09495416  0.1389934   0.22779241  0.02076597
  0.16116329 -0.15888302  0.02966259  0.0912587  -0.20182779  0.01800304
 -0.05508808 -0.02898134 -0.00722702 -0.09413201  0.16193222  0.08832118
 -0.07460651 -0.15763623  0.20771109 -0.17898899 -0.08858676  0.19338302
 -0.06817324 -0.17096652 -0.34785938  0.07531276  0.37039393  0.2674275
 -0.13468668  0.05593166  0.00100003 -0.06041018  0.00284923  0.09662086
 -0.15219183  0.03292648 -0.08136553 -0.00931332  0.14934207  0.01582866
 -0.05068588  0.21031362  0.07057698  0.10369595 -0.00401804  0.00925423
 -0.05965475 -0.02014216 -0.12394536 -0.06135703  0.03867229 -0.06984924
 -0.0229796   0.10832283 -0.20307651  0.10007916 -0.0754567   0.00576294
 -0.07548587  0.02281379 -0.08776819  0.02382068  0.12188978 -0.26885951
  0.17248721  0.19820262  0.00511471  0.11790782  0.17777157 -0.02492464
  0.02652    -0.12927762 -0.13796012 -0.11808975  0.10067274 -0.13006833
  0.07986792  0.04868237]"
Adrian Grenier Short Wavy   Black    Hairstyle  ,Men,Short,Wavy,front_Adrian Grenier Short Wavy   Black    Hairstyle  _Adrien-Grenier.jpg,0,1,1,1,0,1,0,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Adrian Grenier Short Wavy   Black    Hairstyle  _Adrien-Grenier.jpg,"[-1.43408760e-01  1.85117930e-01  6.77076727e-02 -1.68585591e-02
 -9.54682902e-02  5.37496768e-02  4.93079498e-02 -3.64708751e-02
  1.61070049e-01  1.59520209e-02  1.14841275e-01  4.97472882e-02
 -2.45825529e-01 -6.78654015e-03 -1.45182073e-01  2.46109515e-02
 -1.41212523e-01 -1.96306363e-01 -1.44192800e-01  2.92043835e-02
  2.98904032e-02  4.62821275e-02 -3.29528004e-02 -4.46580686e-02
 -7.81894177e-02 -3.24366540e-01 -6.27918765e-02 -4.99051921e-02
  1.96634606e-03 -1.29147574e-01  1.05083063e-01  1.62041094e-03
 -2.54613787e-01 -8.88994783e-02 -6.21465743e-02  1.66698340e-02
 -6.13722019e-02 -1.29336156e-02  2.09718496e-01  9.58077423e-03
 -1.89222962e-01  3.35961431e-02  6.81301355e-02  3.83251548e-01
  1.93351567e-01  1.97766032e-02 -9.42259729e-02 -9.10437107e-02
  2.47926302e-02 -3.20466816e-01  1.16939642e-01  2.02219591e-01
  1.32148743e-01  1.26974612e-01  6.68784082e-02 -9.21700373e-02
  5.96004054e-02  1.07660301e-01 -1.94232076e-01  5.73417693e-02
  4.42640334e-02 -3.82875986e-02  6.13932870e-02 -7.52255619e-02
  1.91398665e-01  3.77088822e-02 -6.84994832e-02 -4.78699282e-02
  8.23377445e-02 -1.77551970e-01  1.21792983e-02  6.78457469e-02
 -1.14167035e-02 -2.00480431e-01 -2.62135088e-01  1.23374775e-01
  4.62099373e-01  2.14623913e-01 -1.69411764e-01  2.48417258e-04
 -1.50578231e-01 -8.77287164e-02  9.54444930e-02  1.18881324e-02
 -1.42789155e-01 -2.77320631e-02 -7.91444778e-02  7.65324906e-02
  2.19156802e-01  4.71914336e-02 -6.69649094e-02  2.10778505e-01
  7.31083974e-02 -7.40664750e-02  6.50594532e-02 -4.18931246e-03
 -1.69716738e-02  2.74660960e-02 -1.78514987e-01  7.20389932e-02
 -5.45251928e-02 -1.05577394e-01 -2.53232978e-02  9.45777819e-02
 -1.25159115e-01  8.06785226e-02  1.04844406e-01 -6.62840307e-02
  9.59262811e-03 -4.34796251e-02 -1.31983489e-01 -9.72499698e-02
  1.93226486e-01 -2.82991379e-01  2.23509222e-01  1.17524870e-01
 -3.27273048e-02  1.55168295e-01  8.15206245e-02  8.92997459e-02
 -1.71786267e-02 -3.65309194e-02 -7.76375905e-02 -1.15454113e-02
  1.29704267e-01 -1.68362036e-02  9.93588641e-02  3.93347964e-02]"
